year	doy	Ap
2021	1	3
2021	2	-1
2021	3	1
2021	4	3
2021	5	9
2021	6	9
2021	7	4
2021	8	1
2021	9	2
2021	10	3
2021	11	10
2021	12	8
2021	13	3
2021	14	1
2021	15	2
2021	16	2
2021	17	2
2021	18	3
2021	19	6
2021	20	5
2021	21	2
2021	22	3
2021	23	3
2021	24	4
2021	25	14
2021	26	9
2021	27	9
2021	28	3
2021	29	2
2021	30	2
2021	31	0
2021	32	4
2021	33	11
2021	34	10
2021	35	7
2021	36	3
2021	37	4
2021	38	18
2021	39	6
2021	40	3
2021	41	1
2021	42	2
2021	43	4
2021	44	10
2021	45	3
2021	46	3
2021	47	11
2021	48	6
2021	49	2
2021	50	13
2021	51	15
2021	52	18
2021	53	13
2021	54	10
2021	55	16
2021	56	13
2021	57	8
2021	58	3
2021	59	4
2021	60	16
2021	61	14
2021	62	15
2021	63	11
2021	64	5
2021	65	11
2021	66	7
2021	67	5
2021	68	2
2021	69	2
2021	70	3
2021	71	9
2021	72	13
2021	73	17
2021	74	5
2021	75	2
2021	76	2
2021	77	4
2021	78	6
2021	79	20
2021	80	17
2021	81	6
2021	82	9
2021	83	11
2021	84	18
2021	85	11
2021	86	7
2021	87	4
2021	88	3
2021	89	4
2021	90	7
2021	91	8
2021	92	4
2021	93	2
2021	94	2
2021	95	5
2021	96	3
2021	97	15
2021	98	3
2021	99	2
2021	100	3
2021	101	5
2021	102	4
2021	103	5
2021	104	7
2021	105	11
2021	106	15
2021	107	20
2021	108	13
2021	109	15
2021	110	10
2021	111	7
2021	112	4
2021	113	15
2021	114	10
2021	115	16
2021	116	12
2021	117	8
2021	118	4
2021	119	5
2021	120	6
2021	121	6
2021	122	12
2021	123	6
2021	124	5
2021	125	3
2021	126	2
2021	127	3
2021	128	4
2021	129	6
2021	130	8
2021	131	4
2021	132	25
2021	133	7
2021	134	4
2021	135	8
2021	136	4
2021	137	6
2021	138	10
2021	139	5
2021	140	17
2021	141	8
2021	142	5
2021	143	4
2021	144	2
2021	145	3
2021	146	12
2021	147	15
2021	148	3
2021	149	7
2021	150	7
2021	151	4
2021	152	3
2021	153	5
2021	154	8
2021	155	4
2021	156	4
2021	157	6
2021	158	15
2021	159	7
2021	160	4
2021	161	5
2021	162	11
2021	163	8
2021	164	7
2021	165	7
2021	166	15
2021	167	15
2021	168	9
2021	169	8
2021	170	5
2021	171	4
2021	172	3
2021	173	8
2021	174	6
2021	175	6
2021	176	8
2021	177	5
2021	178	4
2021	179	4
2021	180	5
2021	181	11
2021	182	7
2021	183	6
2021	184	4
2021	185	4
2021	186	9
2021	187	8
2021	188	6
2021	189	5
2021	190	7
2021	191	8
2021	192	4
2021	193	7
2021	194	7
2021	195	10
2021	196	12
2021	197	5
2021	198	4
2021	199	5
2021	200	4
2021	201	9
2021	202	6
2021	203	9
2021	204	3
2021	205	5
2021	206	5
2021	207	4
2021	208	6
2021	209	13
2021	210	12
2021	211	6
2021	212	6
2021	213	4
2021	214	15
2021	215	13
2021	216	5
2021	217	3
2021	218	9
2021	219	9
2021	220	6
2021	221	6
2021	222	9
2021	223	7
2021	224	6
2021	225	9
2021	226	4
2021	227	13
2021	228	8
2021	229	7
2021	230	6
2021	231	5
2021	232	6
2021	233	4
2021	234	4
2021	235	8
2021	236	5
2021	237	8
2021	238	6
2021	239	19
2021	240	17
2021	241	9
2021	242	9
2021	243	9
2021	244	6
2021	245	3
2021	246	6
2021	247	5
2021	248	8
2021	249	8
2021	250	10
2021	251	14
2021	252	7
2021	253	9
2021	254	8
2021	255	6
2021	256	7
2021	257	5
2021	258	6
2021	259	3
2021	260	19
2021	261	14
2021	262	2
2021	263	4
2021	264	6
2021	265	11
2021	266	10
2021	267	6
2021	268	7
2021	269	2
2021	270	6
2021	271	9
2021	272	4
2021	273	6
2021	274	13
2021	275	6
2021	276	6
2021	277	4
2021	278	6
2021	279	6
2021	280	3
2021	281	3
2021	282	4
2021	283	9
2021	284	15
2021	285	32
2021	286	5
2021	287	6
2021	288	4
2021	289	3
2021	290	-1
2021	291	-1
2021	292	9
2021	293	5
2021	294	9
2021	295	3
2021	296	2
2021	297	2
2021	298	4
2021	299	3
2021	300	2
2021	301	3
2021	302	2
2021	303	8
2021	304	16
2021	305	8
2021	306	12
2021	307	14
2021	308	42
2021	309	9
2021	310	13
2021	311	4
2021	312	3
2021	313	6
2021	314	5
2021	315	3
2021	316	3
2021	317	0
2021	318	2
2021	319	6
2021	320	11
2021	321	9
2021	322	3
2021	323	3
2021	324	7
2021	325	8
2021	326	7
2021	327	7
2021	328	3
2021	329	3
2021	330	3
2021	331	3
2021	332	7
2021	333	6
2021	334	8
2021	335	14
2021	336	7
2021	337	4
2021	338	7
2021	339	6
2021	340	6
2021	341	3
2021	342	4
2021	343	2
2021	344	2
2021	345	3
2021	346	2
2021	347	6
2021	348	4
2021	349	8
2021	350	5
2021	351	2
2021	352	2
2021	353	8
2021	354	13
2021	355	7
2021	356	8
2021	357	2
2021	358	3
2021	359	5
2021	360	2
2021	361	8
2021	362	6
2021	363	5
2021	364	7
2021	365	2
2022	1	9
2022	2	7
2022	3	9
2022	4	5
2022	5	3
2022	6	2
2022	7	1
2022	8	9
2022	9	7
2022	10	4
2022	11	3
2022	12	3
2022	13	3
2022	14	10
2022	15	17
2022	16	16
2022	17	6
2022	18	12
2022	19	15
2022	20	5
2022	21	5
2022	22	7
2022	23	7
2022	24	3
2022	25	10
2022	26	8
2022	27	5
2022	28	7
2022	29	14
2022	30	8
2022	31	8
2022	32	5
2022	33	9
2022	34	18
2022	35	18
2022	36	10
2022	37	12
2022	38	4
2022	39	3
2022	40	2
2022	41	12
2022	42	12
2022	43	10
2022	44	9
2022	45	6
2022	46	3
2022	47	6
2022	48	4
2022	49	5
2022	50	6
2022	51	8
2022	52	11
2022	53	13
2022	54	4
2022	55	6
2022	56	7
2022	57	1
2022	58	11
2022	59	5
2022	60	6
2022	61	3
2022	62	3
2022	63	7
2022	64	19
2022	65	13
2022	66	7
2022	67	5
2022	68	4
2022	69	7
2022	70	15
2022	71	7
2022	72	30
2022	73	13
2022	74	5
2022	75	3
2022	76	6
2022	77	3
2022	78	6
2022	79	11
2022	80	4
2022	81	7
2022	82	6
2022	83	7
2022	84	10
2022	85	7
2022	86	15
2022	87	10
2022	88	6
2022	89	7
2022	90	18
