 year doy hour dst
 2021 1 0 -1
 2021 1 1 -2
 2021 1 2 -2
 2021 1 3 -3
 2021 1 4 -4
 2021 1 5 -3
 2021 1 6 -5
 2021 1 7 -7
 2021 1 8 -4
 2021 1 9 -1
 2021 1 10 -1
 2021 1 11 1
 2021 1 12 3
 2021 1 13 4
 2021 1 14 2
 2021 1 15 2
 2021 1 16 2
 2021 1 17 1
 2021 1 18 1
 2021 1 19 2
 2021 1 20 0
 2021 1 21 -6
 2021 1 22 -6
 2021 1 23 -5
 2021 2 0 -4
 2021 2 1 -4
 2021 2 2 -3
 2021 2 3 -3
 2021 2 4 0
 2021 2 5 1
 2021 2 6 2
 2021 2 7 4
 2021 2 8 4
 2021 2 9 4
 2021 2 10 4
 2021 2 11 5
 2021 2 12 5
 2021 2 13 2
 2021 2 14 3
 2021 2 15 4
 2021 2 16 3
 2021 2 17 2
 2021 2 18 3
 2021 2 19 4
 2021 2 20 6
 2021 2 21 2
 2021 2 22 2
 2021 2 23 3
 2021 3 0 3
 2021 3 1 5
 2021 3 2 6
 2021 3 3 5
 2021 3 4 5
 2021 3 5 4
 2021 3 6 4
 2021 3 7 3
 2021 3 8 3
 2021 3 9 3
 2021 3 10 4
 2021 3 11 3
 2021 3 12 0
 2021 3 13 -1
 2021 3 14 2
 2021 3 15 6
 2021 3 16 6
 2021 3 17 3
 2021 3 18 3
 2021 3 19 4
 2021 3 20 4
 2021 3 21 5
 2021 3 22 4
 2021 3 23 5
 2021 4 0 7
 2021 4 1 7
 2021 4 2 4
 2021 4 3 3
 2021 4 4 3
 2021 4 5 4
 2021 4 6 5
 2021 4 7 2
 2021 4 8 -1
 2021 4 9 -1
 2021 4 10 -4
 2021 4 11 -6
 2021 4 12 -8
 2021 4 13 -6
 2021 4 14 -6
 2021 4 15 -5
 2021 4 16 0
 2021 4 17 3
 2021 4 18 7
 2021 4 19 8
 2021 4 20 11
 2021 4 21 14
 2021 4 22 18
 2021 4 23 17
 2021 5 0 11
 2021 5 1 7
 2021 5 2 3
 2021 5 3 5
