 year doy F10.7
 2021 1 80
 2021 2 82
 2021 3 80
 2021 4 78
 2021 5 75
 2021 6 74
 2021 7 75
 2021 8 75
 2021 9 74
 2021 10 73
 2021 11 73
 2021 12 73
 2021 13 73
 2021 14 74
 2021 15 73
 2021 16 78
 2021 17 77
 2021 18 75
 2021 19 78
 2021 20 77
 2021 21 78
 2021 22 78
 2021 23 78
 2021 24 78
 2021 25 77
 2021 26 76
 2021 27 76
 2021 28 76
 2021 29 76
 2021 30 74
 2021 31 73
 2021 32 74
 2021 33 73
 2021 34 74
 2021 35 74
 2021 36 73
 2021 37 73
 2021 38 73
 2021 39 74
 2021 40 70
 2021 41 74
 2021 42 76
 2021 43 72
 2021 44 71
 2021 45 71
 2021 46 70
 2021 47 71
 2021 48 72
 2021 49 71
 2021 50 73
 2021 51 76
 2021 52 75
 2021 53 76
 2021 54 78
 2021 55 81
 2021 56 80
 2021 57 80
 2021 58 79
 2021 59 78
 2021 60 71
 2021 61 75
 2021 62 74
 2021 63 81
 2021 64 73
 2021 65 77
 2021 66 78
 2021 67 80
 2021 68 84
 2021 69 79
 2021 70 78
 2021 71 77
 2021 72 81
 2021 73 78
 2021 74 75
 2021 75 79
 2021 76 78
 2021 77 73
 2021 78 74
 2021 79 80
 2021 80 77
 2021 81 80
 2021 82 79
 2021 83 84
 2021 84 79
 2021 85 80
 2021 86 80
 2021 87 75
 2021 88 74
 2021 89 80
 2021 90 74
 2021 91 78
 2021 92 72
 2021 93 73
 2021 94 70
 2021 95 72
 2021 96 74
 2021 97 76
 2021 98 74
 2021 99 78
 2021 100 70
 2021 101 73
 2021 102 83
 2021 103 73
 2021 104 74
 2021 105 72
 2021 106 77
 2021 107 75
 2021 108 78
 2021 109 86
 2021 110 80
 2021 111 78
 2021 112 84
 2021 113 77
 2021 114 79
 2021 115 79
 2021 116 80
 2021 117 79
 2021 118 78
 2021 119 77
 2021 120 73
 2021 121 72
 2021 122 72
 2021 123 72
 2021 124 70
 2021 125 70
 2021 126 71
 2021 127 75
 2021 128 76
 2021 129 76
 2021 130 77
 2021 131 76
 2021 132 75
 2021 133 75
 2021 134 71
 2021 135 73
 2021 136 73
 2021 137 75
 2021 138 76
 2021 139 76
 2021 140 72
 2021 141 74
 2021 142 76
 2021 143 79
 2021 144 73
 2021 145 84
 2021 146 88
 2021 147 83
 2021 148 77
 2021 149 76
 2021 150 74
 2021 151 82
 2021 152 75
 2021 153 76
 2021 154 76
 2021 155 77
 2021 156 74
 2021 157 77
 2021 158 81
 2021 159 80
 2021 160 79
 2021 161 73
 2021 162 77
 2021 163 78
 2021 164 69
 2021 165 77
 2021 166 76
 2021 167 76
 2021 168 75
 2021 169 77
 2021 170 77
 2021 171 76
 2021 172 79
 2021 173 81
 2021 174 80
 2021 175 81
 2021 176 83
 2021 177 82
 2021 178 87
 2021 179 89
 2021 180 93
 2021 181 94
 2021 182 94
 2021 183 95
 2021 184 94
 2021 185 91
 2021 186 89
 2021 187 83
 2021 188 76
 2021 189 73
 2021 190 74
 2021 191 74
 2021 192 74
 2021 193 72
 2021 194 72
 2021 195 72
 2021 196 74
 2021 197 75
 2021 198 77
 2021 199 80
 2021 200 83
 2021 201 87
 2021 202 94
 2021 203 89
 2021 204 87
 2021 205 84
 2021 206 82
 2021 207 81
 2021 208 80
 2021 209 79
 2021 210 76
 2021 211 76
 2021 212 76
 2021 213 75
 2021 214 75
 2021 215 76
 2021 216 71
 2021 217 74
 2021 218 74
 2021 219 74
 2021 220 74
 2021 221 73
 2021 222 73
 2021 223 74
 2021 224 74
 2021 225 73
 2021 226 73
 2021 227 75
 2021 228 74
 2021 229 73
 2021 230 75
 2021 231 75
 2021 232 78
 2021 233 77
 2021 234 77
 2021 235 78
 2021 236 81
 2021 237 84
 2021 238 89
 2021 239 90
 2021 240 90
 2021 241 89
 2021 242 91
 2021 243 84
 2021 244 84
 2021 245 86
 2021 246 84
 2021 247 87
 2021 248 94
 2021 249 100
 2021 250 101
 2021 251 100
 2021 252 100
 2021 253 96
 2021 254 92
 2021 255 88
 2021 256 83
 2021 257 78
 2021 258 75
 2021 259 73
 2021 260 73
 2021 261 74
 2021 262 75
 2021 263 80
 2021 264 85
 2021 265 89
 2021 266 90
 2021 267 88
 2021 268 88
 2021 269 86
 2021 270 85
 2021 271 89
 2021 272 102
 2021 273 95
 2021 274 91
 2021 275 87
 2021 276 86
 2021 277 84
 2021 278 82
 2021 279 85
 2021 280 86
 2021 281 92
 2021 282 81
 2021 283 85
 2021 284 89
 2021 285 84
 2021 286 84
 2021 287 83
 2021 288 84
 2021 289 78
 2021 290 77
 2021 291 76
 2021 292 76
 2021 293 76
 2021 294 82
 2021 295 87
 2021 296 87
 2021 297 93
 2021 298 101
 2021 299 109
 2021 300 111
 2021 301 112
 2021 302 108
 2021 303 107
 2021 304 103
 2021 305 98
 2021 306 97
 2021 307 89
 2021 308 94
 2021 309 93
 2021 310 82
 2021 311 88
 2021 312 88
 2021 313 92
 2021 314 88
 2021 315 85
 2021 316 83
 2021 317 81
 2021 318 78
 2021 319 79
 2021 320 80
 2021 321 79
 2021 322 82
 2021 323 79
 2021 324 80
 2021 325 79
 2021 326 78
 2021 327 80
 2021 328 83
 2021 329 94
 2021 330 92
 2021 331 92
 2021 332 92
 2021 333 90
 2021 334 90
 2021 335 86
 2021 336 87
 2021 337 85
 2021 338 88
 2021 339 83
 2021 340 80
 2021 341 79
 2021 342 77
 2021 343 77
 2021 344 76
 2021 345 76
 2021 346 80
 2021 347 81
 2021 348 89
 2021 349 103
 2021 350 118
 2021 351 121
 2021 352 121
 2021 353 115
 2021 354 123
 2021 355 137
 2021 356 140
 2021 357 130
 2021 358 126
 2021 359 131
 2021 360 125
 2021 361 124
 2021 362 121
 2021 363 111
 2021 364 102
 2021 365 102
 2022 1 94
 2022 2 89
 2022 3 84
 2022 4 86
 2022 5 84
 2022 6 94
 2022 7 107
 2022 8 102
 2022 9 102
 2022 10 102
 2022 11 100
 2022 12 103
 2022 13 106
 2022 14 110
 2022 15 116
 2022 16 116
 2022 17 114
 2022 18 115
 2022 19 105
 2022 20 99
 2022 21 97
 2022 22 95
 2022 23 94
 2022 24 95
 2022 25 101
 2022 26 102
 2022 27 107
 2022 28 113
 2022 29 125
 2022 30 130
 2022 31 130
 2022 32 129
 2022 33 128
 2022 34 127
 2022 35 130
 2022 36 126
 2022 37 124
 2022 38 127
 2022 39 123
 2022 40 126
 2022 41 118
 2022 42 113
 2022 43 111
 2022 44 105
 2022 45 107
 2022 46 114
 2022 47 103
 2022 48 97
 2022 49 93
 2022 50 96
 2022 51 93
 2022 52 98
 2022 53 95
 2022 54 96
 2022 55 92
 2022 56 96
 2022 57 97
 2022 58 97
 2022 59 99
 2022 60 99
 2022 61 110
 2022 62 111
 2022 63 113
 2022 64 120
 2022 65 116
 2022 66 118
 2022 67 115
 2022 68 115
 2022 69 127
 2022 70 127
 2022 71 125
 2022 72 123
 2022 73 115
 2022 74 110
 2022 75 107
 2022 76 103
 2022 77 98
 2022 78 94
 2022 79 95
 2022 80 98
 2022 81 106
 2022 82 106
 2022 83 112
 2022 84 112
 2022 85 119
 2022 86 130
 2022 87 156
 2022 88 149
 2022 89 151
 2022 90 149
