 year doy hour Kp
 2021 1 0 0
 2021 1 3 0
 2021 1 6 1
 2021 1 9 0
 2021 1 12 1
 2021 1 15 2
 2021 1 18 2
 2021 1 21 1
 2021 2 0 0
 2021 2 3 0
 2021 2 6 0
 2021 2 9 0
 2021 2 12 0
 2021 2 15 -1
 2021 2 18 -1
 2021 2 21 -1
 2021 3 0 0
 2021 3 3 0
 2021 3 6 0
 2021 3 9 0
 2021 3 12 1
 2021 3 15 1
 2021 3 18 0
 2021 3 21 0
 2021 4 0 0
 2021 4 3 0
 2021 4 6 1
 2021 4 9 1
 2021 4 12 2
 2021 4 15 2
 2021 4 18 1
 2021 4 21 1
 2021 5 0 1
 2021 5 3 0
 2021 5 6 1
 2021 5 9 0
 2021 5 12 4
 2021 5 15 3
 2021 5 18 2
 2021 5 21 3
 2021 6 0 3
 2021 6 3 2
 2021 6 6 4
 2021 6 9 2
 2021 6 12 2
 2021 6 15 1
 2021 6 18 1
 2021 6 21 0
 2021 7 0 1
 2021 7 3 2
 2021 7 6 1
 2021 7 9 0
 2021 7 12 1
 2021 7 15 1
 2021 7 18 1
 2021 7 21 2
 2021 8 0 0
 2021 8 3 0
 2021 8 6 0
 2021 8 9 0
 2021 8 12 1
 2021 8 15 1
 2021 8 18 1
 2021 8 21 0
 2021 9 0 1
 2021 9 3 1
 2021 9 6 0
 2021 9 9 1
 2021 9 12 1
 2021 9 15 1
 2021 9 18 0
 2021 9 21 0
 2021 10 0 0
 2021 10 3 1
 2021 10 6 1
 2021 10 9 1
 2021 10 12 1
 2021 10 15 2
 2021 10 18 1
 2021 10 21 0
 2021 11 0 1
 2021 11 3 0
 2021 11 6 0
 2021 11 9 2
 2021 11 12 4
 2021 11 15 3
 2021 11 18 3
 2021 11 21 3
 2021 12 0 3
 2021 12 3 3
 2021 12 6 2
 2021 12 9 2
 2021 12 12 1
 2021 12 15 2
 2021 12 18 1
 2021 12 21 1
 2021 13 0 1
 2021 13 3 0
 2021 13 6 1
 2021 13 9 2
 2021 13 12 1
 2021 13 15 1
 2021 13 18 0
 2021 13 21 1
 2021 14 0 0
 2021 14 3 0
 2021 14 6 0
 2021 14 9 0
 2021 14 12 0
 2021 14 15 1
 2021 14 18 0
 2021 14 21 1
 2021 15 0 1
 2021 15 3 0
 2021 15 6 0
 2021 15 9 0
 2021 15 12 1
 2021 15 15 2
 2021 15 18 1
 2021 15 21 0
 2021 16 0 0
 2021 16 3 1
 2021 16 6 0
 2021 16 9 1
 2021 16 12 1
 2021 16 15 1
 2021 16 18 1
 2021 16 21 0
 2021 17 0 0
 2021 17 3 1
 2021 17 6 0
 2021 17 9 0
 2021 17 12 2
 2021 17 15 1
 2021 17 18 1
 2021 17 21 0
 2021 18 0 0
 2021 18 3 1
 2021 18 6 0
 2021 18 9 0
 2021 18 12 1
 2021 18 15 1
 2021 18 18 2
 2021 18 21 2
 2021 19 0 2
 2021 19 3 2
 2021 19 6 1
 2021 19 9 1
 2021 19 12 2
 2021 19 15 2
 2021 19 18 2
 2021 19 21 1
 2021 20 0 1
 2021 20 3 1
 2021 20 6 2
 2021 20 9 2
 2021 20 12 2
 2021 20 15 2
 2021 20 18 1
 2021 20 21 0
 2021 21 0 0
 2021 21 3 1
 2021 21 6 0
 2021 21 9 1
 2021 21 12 1
 2021 21 15 1
 2021 21 18 0
 2021 21 21 0
 2021 22 0 1
 2021 22 3 0
 2021 22 6 1
 2021 22 9 0
 2021 22 12 1
 2021 22 15 1
 2021 22 18 2
 2021 22 21 1
 2021 23 0 0
 2021 23 3 0
 2021 23 6 1
 2021 23 9 2
 2021 23 12 0
 2021 23 15 1
 2021 23 18 1
 2021 23 21 2
 2021 24 0 0
 2021 24 3 2
 2021 24 6 2
 2021 24 9 0
 2021 24 12 1
 2021 24 15 1
 2021 24 18 1
 2021 24 21 2
 2021 25 0 2
 2021 25 3 2
 2021 25 6 3
 2021 25 9 3
 2021 25 12 1
 2021 25 15 2
 2021 25 18 2
 2021 25 21 5
 2021 26 0 3
 2021 26 3 4
 2021 26 6 2
 2021 26 9 1
 2021 26 12 2
 2021 26 15 1
 2021 26 18 2
 2021 26 21 1
 2021 27 0 2
 2021 27 3 3
 2021 27 6 2
 2021 27 9 2
 2021 27 12 2
 2021 27 15 2
 2021 27 18 1
 2021 27 21 3
 2021 28 0 3
 2021 28 3 1
 2021 28 6 1
 2021 28 9 0
 2021 28 12 0
 2021 28 15 1
 2021 28 18 0
 2021 28 21 0
 2021 29 0 0
 2021 29 3 2
 2021 29 6 1
 2021 29 9 0
 2021 29 12 1
 2021 29 15 1
 2021 29 18 0
 2021 29 21 0
 2021 30 0 0
 2021 30 3 1
 2021 30 6 0
 2021 30 9 0
 2021 30 12 1
 2021 30 15 1
 2021 30 18 1
 2021 30 21 0
 2021 31 0 0
 2021 31 3 0
 2021 31 6 0
 2021 31 9 0
 2021 31 12 1
 2021 31 15 0
 2021 31 18 0
 2021 31 21 0
 2021 32 0 1
 2021 32 3 1
 2021 32 6 0
 2021 32 9 0
 2021 32 12 2
 2021 32 15 2
 2021 32 18 1
 2021 32 21 2
 2021 33 0 3
 2021 33 3 3
 2021 33 6 3
 2021 33 9 2
 2021 33 12 3
 2021 33 15 2
 2021 33 18 2
 2021 33 21 1
 2021 34 0 2
 2021 34 3 3
 2021 34 6 2
 2021 34 9 2
 2021 34 12 1
 2021 34 15 2
 2021 34 18 4
 2021 34 21 2
 2021 35 0 2
 2021 35 3 2
 2021 35 6 3
 2021 35 9 2
 2021 35 12 2
 2021 35 15 1
 2021 35 18 1
 2021 35 21 1
 2021 36 0 2
 2021 36 3 1
 2021 36 6 1
 2021 36 9 1
 2021 36 12 1
 2021 36 15 0
 2021 36 18 1
 2021 36 21 1
 2021 37 0 0
 2021 37 3 0
 2021 37 6 0
 2021 37 9 0
 2021 37 12 1
 2021 37 15 2
 2021 37 18 3
 2021 37 21 2
 2021 38 0 5
 2021 38 3 4
 2021 38 6 3
 2021 38 9 4
 2021 38 12 3
 2021 38 15 1
 2021 38 18 1
 2021 38 21 1
 2021 39 0 1
 2021 39 3 1
 2021 39 6 2
 2021 39 9 2
 2021 39 12 1
 2021 39 15 1
 2021 39 18 1
 2021 39 21 3
 2021 40 0 1
 2021 40 3 1
 2021 40 6 2
 2021 40 9 2
 2021 40 12 1
 2021 40 15 0
 2021 40 18 1
 2021 40 21 0
 2021 41 0 0
 2021 41 3 0
 2021 41 6 0
 2021 41 9 1
 2021 41 12 1
 2021 41 15 0
 2021 41 18 1
 2021 41 21 0
 2021 42 0 0
 2021 42 3 0
 2021 42 6 1
 2021 42 9 1
 2021 42 12 1
 2021 42 15 1
 2021 42 18 1
 2021 42 21 0
 2021 43 0 0
 2021 43 3 1
 2021 43 6 1
 2021 43 9 0
 2021 43 12 1
 2021 43 15 2
 2021 43 18 2
 2021 43 21 2
 2021 44 0 2
 2021 44 3 3
 2021 44 6 2
 2021 44 9 4
 2021 44 12 3
 2021 44 15 1
 2021 44 18 1
 2021 44 21 1
 2021 45 0 1
 2021 45 3 1
 2021 45 6 1
 2021 45 9 0
 2021 45 12 2
 2021 45 15 1
 2021 45 18 1
 2021 45 21 0
 2021 46 0 0
 2021 46 3 0
 2021 46 6 2
 2021 46 9 0
 2021 46 12 1
 2021 46 15 1
 2021 46 18 2
 2021 46 21 2
 2021 47 0 1
 2021 47 3 3
 2021 47 6 3
 2021 47 9 4
 2021 47 12 2
 2021 47 15 2
 2021 47 18 2
 2021 47 21 1
 2021 48 0 1
 2021 48 3 2
 2021 48 6 2
 2021 48 9 2
 2021 48 12 2
 2021 48 15 2
 2021 48 18 1
 2021 48 21 2
 2021 49 0 2
 2021 49 3 1
 2021 49 6 1
 2021 49 9 1
 2021 49 12 1
 2021 49 15 0
 2021 49 18 0
 2021 49 21 0
 2021 50 0 2
 2021 50 3 1
 2021 50 6 1
 2021 50 9 1
 2021 50 12 4
 2021 50 15 3
 2021 50 18 3
 2021 50 21 4
 2021 51 0 2
 2021 51 3 2
 2021 51 6 3
 2021 51 9 2
 2021 51 12 3
 2021 51 15 3
 2021 51 18 4
 2021 51 21 4
 2021 52 0 3
 2021 52 3 3
 2021 52 6 4
 2021 52 9 4
 2021 52 12 4
 2021 52 15 2
 2021 52 18 2
 2021 52 21 3
 2021 53 0 3
 2021 53 3 4
 2021 53 6 2
 2021 53 9 2
 2021 53 12 3
 2021 53 15 2
 2021 53 18 3
 2021 53 21 2
 2021 54 0 3
 2021 54 3 3
 2021 54 6 3
 2021 54 9 3
 2021 54 12 2
 2021 54 15 2
 2021 54 18 2
 2021 54 21 0
 2021 55 0 3
 2021 55 3 3
 2021 55 6 3
 2021 55 9 3
 2021 55 12 2
 2021 55 15 4
 2021 55 18 3
 2021 55 21 3
 2021 56 0 4
 2021 56 3 3
 2021 56 6 3
 2021 56 9 2
 2021 56 12 2
 2021 56 15 2
 2021 56 18 2
 2021 56 21 3
 2021 57 0 3
 2021 57 3 2
 2021 57 6 1
 2021 57 9 2
 2021 57 12 2
 2021 57 15 2
 2021 57 18 2
 2021 57 21 2
 2021 58 0 0
 2021 58 3 1
 2021 58 6 2
 2021 58 9 0
 2021 58 12 1
 2021 58 15 2
 2021 58 18 1
 2021 58 21 0
 2021 59 0 0
 2021 59 3 2
 2021 59 6 1
 2021 59 9 0
 2021 59 12 1
 2021 59 15 2
 2021 59 18 2
 2021 59 21 2
 2021 60 0 3
 2021 60 3 5
 2021 60 6 4
 2021 60 9 3
 2021 60 12 2
 2021 60 15 2
 2021 60 18 2
 2021 60 21 1
 2021 61 0 2
 2021 61 3 3
 2021 61 6 2
 2021 61 9 2
 2021 61 12 3
 2021 61 15 3
 2021 61 18 4
 2021 61 21 3
 2021 62 0 4
 2021 62 3 4
 2021 62 6 4
 2021 62 9 3
 2021 62 12 2
 2021 62 15 1
 2021 62 18 2
 2021 62 21 2
 2021 63 0 4
 2021 63 3 3
 2021 63 6 1
 2021 63 9 1
 2021 63 12 3
 2021 63 15 1
 2021 63 18 2
 2021 63 21 3
 2021 64 0 2
 2021 64 3 1
 2021 64 6 2
 2021 64 9 2
 2021 64 12 1
 2021 64 15 1
 2021 64 18 1
 2021 64 21 1
 2021 65 0 4
 2021 65 3 3
 2021 65 6 3
 2021 65 9 2
 2021 65 12 2
 2021 65 15 1
 2021 65 18 2
 2021 65 21 2
 2021 66 0 2
 2021 66 3 2
 2021 66 6 0
 2021 66 9 2
 2021 66 12 1
 2021 66 15 3
 2021 66 18 1
 2021 66 21 3
 2021 67 0 1
 2021 67 3 1
 2021 67 6 1
 2021 67 9 0
 2021 67 12 2
 2021 67 15 1
 2021 67 18 3
 2021 67 21 2
 2021 68 0 1
 2021 68 3 1
 2021 68 6 1
 2021 68 9 0
 2021 68 12 1
 2021 68 15 1
 2021 68 18 1
 2021 68 21 0
 2021 69 0 0
 2021 69 3 0
 2021 69 6 0
 2021 69 9 0
 2021 69 12 1
 2021 69 15 1
 2021 69 18 2
 2021 69 21 1
 2021 70 0 0
 2021 70 3 1
 2021 70 6 0
 2021 70 9 1
 2021 70 12 1
 2021 70 15 2
 2021 70 18 1
 2021 70 21 2
 2021 71 0 2
 2021 71 3 2
 2021 71 6 3
 2021 71 9 1
 2021 71 12 2
 2021 71 15 2
 2021 71 18 2
 2021 71 21 3
 2021 72 0 3
 2021 72 3 3
 2021 72 6 3
 2021 72 9 3
 2021 72 12 2
 2021 72 15 2
 2021 72 18 3
 2021 72 21 3
 2021 73 0 3
 2021 73 3 4
 2021 73 6 4
 2021 73 9 3
 2021 73 12 3
 2021 73 15 2
 2021 73 18 3
 2021 73 21 3
 2021 74 0 3
 2021 74 3 2
 2021 74 6 1
 2021 74 9 2
 2021 74 12 1
 2021 74 15 1
 2021 74 18 0
 2021 74 21 0
 2021 75 0 0
 2021 75 3 1
 2021 75 6 0
 2021 75 9 1
 2021 75 12 1
 2021 75 15 1
 2021 75 18 0
 2021 75 21 1
 2021 76 0 1
 2021 76 3 0
 2021 76 6 0
 2021 76 9 0
 2021 76 12 1
 2021 76 15 2
 2021 76 18 1
 2021 76 21 1
 2021 77 0 2
 2021 77 3 2
 2021 77 6 1
 2021 77 9 2
 2021 77 12 1
 2021 77 15 1
 2021 77 18 0
 2021 77 21 1
 2021 78 0 2
 2021 78 3 2
 2021 78 6 2
 2021 78 9 2
 2021 78 12 1
 2021 78 15 1
 2021 78 18 1
 2021 78 21 2
 2021 79 0 2
 2021 79 3 3
