 year doy sunspot
 2021 1 23
 2021 2 22
 2021 3 0
 2021 4 0
 2021 5 0
 2021 6 0
 2021 7 0
 2021 8 0
 2021 9 0
 2021 10 0
 2021 11 0
 2021 12 0
 2021 13 0
 2021 14 0
 2021 15 13
 2021 16 15
 2021 17 23
 2021 18 13
 2021 19 14
 2021 20 25
 2021 21 26
 2021 22 39
 2021 23 34
 2021 24 23
 2021 25 26
 2021 26 23
 2021 27 26
 2021 28 0
 2021 29 0
 2021 30 0
 2021 31 0
 2021 32 0
 2021 33 12
 2021 34 11
 2021 35 0
 2021 36 0
 2021 37 0
 2021 38 0
 2021 39 0
 2021 40 0
 2021 41 0
 2021 42 0
 2021 43 0
 2021 44 0
 2021 45 0
 2021 46 0
 2021 47 0
 2021 48 0
 2021 49 12
 2021 50 12
 2021 51 12
 2021 52 11
 2021 53 26
 2021 54 31
 2021 55 33
 2021 56 31
 2021 57 16
 2021 58 14
 2021 59 13
 2021 60 0
 2021 61 28
 2021 62 30
 2021 63 32
 2021 64 14
 2021 65 23
 2021 66 14
 2021 67 12
 2021 68 23
 2021 69 11
 2021 70 23
 2021 71 15
 2021 72 12
 2021 73 24
 2021 74 24
 2021 75 23
 2021 76 12
 2021 77 12
 2021 78 14
 2021 79 12
 2021 80 12
 2021 81 23
 2021 82 26
 2021 83 26
 2021 84 24
 2021 85 24
 2021 86 11
 2021 87 11
 2021 88 13
 2021 89 0
 2021 90 0
 2021 91 0
 2021 92 0
 2021 93 12
 2021 94 11
 2021 95 11
 2021 96 11
 2021 97 0
 2021 98 0
 2021 99 0
 2021 100 0
 2021 101 0
 2021 102 16
 2021 103 16
 2021 104 17
 2021 105 22
 2021 106 44
 2021 107 28
 2021 108 15
 2021 109 36
 2021 110 54
 2021 111 47
 2021 112 42
 2021 113 29
 2021 114 62
 2021 115 57
 2021 116 54
 2021 117 47
 2021 118 42
 2021 119 37
 2021 120 35
 2021 121 11
 2021 122 0
 2021 123 0
 2021 124 0
 2021 125 0
 2021 126 0
 2021 127 15
 2021 128 17
 2021 129 18
 2021 130 36
 2021 131 31
 2021 132 31
 2021 133 24
 2021 134 24
 2021 135 24
 2021 136 11
 2021 137 11
 2021 138 24
 2021 139 24
 2021 140 13
 2021 141 13
 2021 142 19
 2021 143 30
 2021 144 29
 2021 145 36
 2021 146 34
 2021 147 34
 2021 148 28
 2021 149 26
 2021 150 27
 2021 151 31
 2021 152 20
 2021 153 30
 2021 154 28
 2021 155 30
 2021 156 30
 2021 157 42
 2021 158 53
 2021 159 34
 2021 160 27
 2021 161 29
 2021 162 13
 2021 163 0
 2021 164 22
 2021 165 11
 2021 166 11
 2021 167 11
 2021 168 12
 2021 169 24
 2021 170 15
 2021 171 13
 2021 172 11
 2021 173 12
 2021 174 11
 2021 175 11
 2021 176 25
 2021 177 16
 2021 178 32
 2021 179 50
 2021 180 56
 2021 181 53
 2021 182 56
 2021 183 72
 2021 184 81
 2021 185 60
 2021 186 43
 2021 187 52
 2021 188 25
 2021 189 23
 2021 190 23
 2021 191 24
 2021 192 23
 2021 193 22
 2021 194 11
 2021 195 23
 2021 196 22
 2021 197 35
 2021 198 53
 2021 199 42
 2021 200 45
 2021 201 59
 2021 202 86
 2021 203 77
 2021 204 46
 2021 205 35
 2021 206 24
 2021 207 25
 2021 208 25
 2021 209 0
 2021 210 0
 2021 211 0
 2021 212 0
 2021 213 0
 2021 214 13
 2021 215 15
 2021 216 14
 2021 217 36
 2021 218 0
 2021 219 0
 2021 220 11
 2021 221 0
 2021 222 0
 2021 223 22
 2021 224 11
 2021 225 0
 2021 226 47
 2021 227 23
 2021 228 14
 2021 229 13
 2021 230 16
 2021 231 25
 2021 232 14
 2021 233 25
 2021 234 16
 2021 235 14
 2021 236 29
 2021 237 29
 2021 238 47
 2021 239 73
 2021 240 77
 2021 241 44
 2021 242 41
 2021 243 37
 2021 244 35
 2021 245 33
 2021 246 33
 2021 247 68
 2021 248 66
 2021 249 80
 2021 250 85
 2021 251 87
 2021 252 124
 2021 253 99
 2021 254 93
 2021 255 47
 2021 256 32
 2021 257 13
 2021 258 0
 2021 259 0
 2021 260 0
 2021 261 11
 2021 262 13
 2021 263 51
 2021 264 50
 2021 265 76
 2021 266 75
 2021 267 75
 2021 268 38
 2021 269 67
 2021 270 30
 2021 271 57
 2021 272 74
 2021 273 46
 2021 274 28
 2021 275 25
 2021 276 38
 2021 277 29
 2021 278 27
 2021 279 22
 2021 280 13
 2021 281 13
 2021 282 14
 2021 283 38
 2021 284 35
 2021 285 26
 2021 286 27
 2021 287 24
 2021 288 11
 2021 289 11
 2021 290 0
 2021 291 11
 2021 292 11
 2021 293 11
 2021 294 11
 2021 295 28
 2021 296 32
 2021 297 46
 2021 298 81
 2021 299 95
 2021 300 91
 2021 301 96
 2021 302 82
 2021 303 76
 2021 304 83
 2021 305 53
 2021 306 42
 2021 307 41
 2021 308 28
 2021 309 40
 2021 310 41
 2021 311 28
 2021 312 41
 2021 313 40
 2021 314 37
 2021 315 39
 2021 316 39
 2021 317 24
 2021 318 23
 2021 319 23
 2021 320 35
 2021 321 33
 2021 322 22
 2021 323 22
 2021 324 22
 2021 325 22
 2021 326 22
 2021 327 39
 2021 328 39
 2021 329 20
 2021 330 52
 2021 331 53
 2021 332 53
 2021 333 47
 2021 334 61
 2021 335 37
 2021 336 45
 2021 337 29
 2021 338 35
 2021 339 36
 2021 340 14
 2021 341 13
 2021 342 0
 2021 343 0
 2021 344 0
 2021 345 0
 2021 346 12
 2021 347 40
 2021 348 40
 2021 349 79
 2021 350 127
 2021 351 119
 2021 352 117
 2021 353 109
 2021 354 115
 2021 355 147
 2021 356 137
 2021 357 143
 2021 358 145
 2021 359 117
 2021 360 95
 2021 361 85
 2021 362 107
 2021 363 79
 2021 364 77
 2021 365 53
 2022 1 52
 2022 2 25
 2022 3 12
 2022 4 12
 2022 5 24
 2022 6 35
 2022 7 38
 2022 8 31
 2022 9 36
 2022 10 38
 2022 11 51
 2022 12 68
 2022 13 111
 2022 14 112
 2022 15 120
 2022 16 103
 2022 17 99
 2022 18 59
 2022 19 57
 2022 20 60
 2022 21 23
 2022 22 22
 2022 23 22
 2022 24 26
 2022 25 53
 2022 26 71
 2022 27 85
 2022 28 77
 2022 29 74
 2022 30 70
 2022 31 100
 2022 32 88
 2022 33 75
 2022 34 84
 2022 35 87
 2022 36 91
 2022 37 83
 2022 38 78
 2022 39 86
 2022 40 78
 2022 41 78
 2022 42 86
 2022 43 54
 2022 44 53
 2022 45 72
 2022 46 73
 2022 47 111
 2022 48 103
 2022 49 53
 2022 50 51
 2022 51 49
 2022 52 48
 2022 53 38
 2022 54 38
 2022 55 23
 2022 56 22
 2022 57 22
 2022 58 48
 2022 59 65
 2022 60 62
 2022 61 66
 2022 62 92
 2022 63 77
