 year doy hour T1
 2021 1 0 14.1
 2021 1 2 27.8
 2021 1 4 36.1
 2021 1 6 37.4
 2021 1 8 29.2
 2021 1 10 15.9
 2021 1 12 12.4
 2021 1 14 7.8
 2021 1 16 6.7
 2021 1 18 6.9
 2021 1 20 4.9
 2021 1 22 4.7
 2021 2 0 12.2
 2021 2 2 23.9
 2021 2 4 29.6
 2021 2 6 29.1
 2021 2 8 21.3
 2021 2 10 11.9
 2021 2 12 8.7
 2021 2 14 6.6
 2021 2 16 6.4
 2021 2 18 5.5
 2021 2 20 5.3
 2021 2 22 5.3
 2021 3 0 13.1
 2021 3 2 22.5
 2021 3 4 30.4
 2021 3 6 24.2
 2021 3 8 16.2
 2021 3 10 11.7
 2021 3 12 10.1
 2021 3 14 8.0
 2021 3 16 5.6
 2021 3 18 5.0
 2021 3 20 4.6
 2021 3 22 4.7
 2021 4 0 12.9
 2021 4 2 26.0
 2021 4 4 28.6
 2021 4 6 25.7
 2021 4 8 16.0
 2021 4 10 10.8
 2021 4 12 9.3
 2021 4 14 6.5
 2021 4 16 5.5
 2021 4 18 5.5
 2021 4 20 4.2
 2021 4 22 3.9
 2021 5 0 11.2
 2021 5 2 20.4
 2021 5 4 26.4
 2021 5 6 23.0
 2021 5 8 13.9
 2021 5 10 11.0
 2021 5 12 9.1
 2021 5 14 6.6
 2021 5 16 6.1
 2021 5 18 6.1
 2021 5 20 4.0
 2021 5 22 3.3
 2021 6 0 13.5
 2021 6 2 22.6
 2021 6 4 25.5
 2021 6 6 24.4
 2021 6 8 17.6
 2021 6 10 13.5
 2021 6 12 9.7
 2021 6 14 6.6
 2021 6 16 5.4
 2021 6 18 5.3
 2021 6 20 3.8
 2021 6 22 4.0
 2021 7 0 12.4
 2021 7 2 22.2
 2021 7 4 28.3
 2021 7 6 28.4
 2021 7 8 20.0
 2021 7 10 12.2
 2021 7 12 11.5
 2021 7 14 7.4
 2021 7 16 4.8
 2021 7 18 4.6
 2021 7 20 4.4
 2021 7 22 4.6
 2021 8 0 9.9
 2021 8 2 17.1
 2021 8 4 28.5
 2021 8 6 30.1
 2021 8 8 23.6
 2021 8 10 12.6
 2021 8 12 8.8
 2021 8 14 5.9
 2021 8 16 4.9
 2021 8 18 5.6
 2021 8 20 4.8
 2021 8 22 4.4
 2021 9 0 10.8
 2021 9 2 14.5
 2021 9 4 24.2
 2021 9 6 25.5
 2021 9 8 21.0
 2021 9 10 13.1
 2021 9 12 11.0
 2021 9 14 7.1
 2021 9 16 5.7
 2021 9 18 4.9
 2021 9 20 4.1
 2021 9 22 3.8
 2021 10 0 10.7
 2021 10 2 14.8
 2021 10 4 23.0
 2021 10 6 27.4
 2021 10 8 21.8
 2021 10 10 13.1
 2021 10 12 9.0
 2021 10 14 6.5
 2021 10 16 6.0
 2021 10 18 5.9
 2021 10 20 5.0
 2021 10 22 4.0
 2021 11 0 9.3
 2021 11 2 15.2
 2021 11 4 24.5
 2021 11 6 28.7
 2021 11 8 26.2
 2021 11 10 16.3
 2021 11 12 13.1
 2021 11 14 7.3
 2021 11 16 6.2
 2021 11 18 6.7
 2021 11 20 4.9
 2021 11 22 5.1
 2021 12 0 13.5
 2021 12 2 19.2
 2021 12 4 26.0
 2021 12 6 26.7
 2021 12 8 23.4
 2021 12 10 16.6
 2021 12 12 13.3
 2021 12 14 8.4
 2021 12 16 6.4
 2021 12 18 6.3
 2021 12 20 5.0
 2021 12 22 5.0
 2021 13 0 11.4
 2021 13 2 15.9
 2021 13 4 22.6
 2021 13 6 24.3
 2021 13 8 18.8
 2021 13 10 11.8
 2021 13 12 10.4
 2021 13 14 7.0
 2021 13 16 5.9
 2021 13 18 5.9
 2021 13 20 4.6
 2021 13 22 4.4
 2021 14 0 10.9
 2021 14 2 18.8
 2021 14 4 25.3
 2021 14 6 25.6
 2021 14 8 21.0
 2021 14 10 13.4
 2021 14 12 10.3
 2021 14 14 6.7
 2021 14 16 5.7
 2021 14 18 4.9
 2021 14 20 4.1
 2021 14 22 3.7
 2021 15 0 11.1
 2021 15 2 16.0
 2021 15 4 22.1
 2021 15 6 21.9
 2021 15 8 19.1
 2021 15 10 11.0
 2021 15 12 7.2
 2021 15 14 6.1
 2021 15 16 4.9
 2021 15 18 4.0
 2021 15 20 3.5
 2021 15 22 3.4
 2021 16 0 9.5
 2021 16 2 16.8
 2021 16 4 25.1
 2021 16 6 27.7
 2021 16 8 23.1
 2021 16 10 12.0
 2021 16 12 8.9
 2021 16 14 7.0
 2021 16 16 6.2
 2021 16 18 5.5
 2021 16 20 4.7
 2021 16 22 3.9
 2021 17 0 9.7
 2021 17 2 15.7
 2021 17 4 26.2
 2021 17 6 28.2
 2021 17 8 22.2
 2021 17 10 12.7
 2021 17 12 8.9
 2021 17 14 7.3
 2021 17 16 6.1
 2021 17 18 5.5
 2021 17 20 4.2
 2021 17 22 3.8
 2021 18 0 11.1
 2021 18 2 18.5
 2021 18 4 27.0
 2021 18 6 27.4
 2021 18 8 19.0
 2021 18 10 12.4
 2021 18 12 8.6
 2021 18 14 7.1
 2021 18 16 6.5
 2021 18 18 5.1
 2021 18 20 4.1
 2021 18 22 3.8
 2021 19 0 10.5
 2021 19 2 17.7
 2021 19 4 26.5
 2021 19 6 28.4
 2021 19 8 25.6
 2021 19 10 18.7
 2021 19 12 11.7
 2021 19 14 8.0
 2021 19 16 6.8
 2021 19 18 5.2
 2021 19 20 4.3
 2021 19 22 3.9
 2021 20 0 9.3
 2021 20 2 16.3
 2021 20 4 26.9
 2021 20 6 25.6
 2021 20 8 22.7
 2021 20 10 14.2
 2021 20 12 10.3
 2021 20 14 7.0
 2021 20 16 5.9
